date,avg_hits,hits_grade
01-01,616,24.64
01-02,957,38.28
01-03,1850,74.0
01-04,389,15.56
01-05,880,35.2
01-06,1458,58.32
01-07,1210,48.4
01-08,1318,52.72
01-09,500,20.0
01-10,1072,42.88
01-11,1509,60.36
01-12,446,17.84
01-13,812,32.48
01-14,1350,54.0
01-15,1034,41.36
01-16,455,18.2
01-17,1081,43.24
01-18,575,23.0
01-19,780,31.2
01-20,1921,76.84
01-21,565,22.6
01-22,911,36.44
01-23,1454,58.16
01-24,1032,41.28
01-25,715,28.6
01-26,225,9.0
01-27,333,13.32
01-28,2778,100.0
01-29,1005,40.2
01-30,100,4.0
01-31,384,15.36
02-01,1465,58.6
02-02,2331,93.24
02-03,584,23.36
02-04,604,24.16
02-05,705,28.2
02-06,1884,75.36
02-07,243,9.72
02-08,827,33.08
02-09,1603,64.12
02-10,140,5.6
02-11,583,23.32
02-12,1731,69.24
02-13,164,6.56
02-14,302,12.08
02-15,1322,52.88
02-16,232,9.28
02-17,1098,43.92
02-18,1216,48.64
02-19,417,16.68
02-20,522,20.88
02-21,515,20.6
02-22,1481,59.24
02-23,165,6.6
02-24,204,8.16
02-25,849,33.96
02-26,885,35.4
02-27,1460,58.4
02-28,1166,46.64
02-29,294,11.76
03-01,727,29.08
03-02,897,35.88
03-03,353,14.12
03-04,1903,76.12
03-05,609,24.36
03-06,435,17.4
03-07,494,19.76
03-08,909,36.36
03-09,529,21.16
03-10,659,26.36
03-11,376,15.04
03-12,739,29.56
03-13,513,20.52
03-14,498,19.92
03-15,495,19.8
03-16,1949,77.96
03-17,486,19.44
03-18,466,18.64
03-19,635,25.4
03-20,739,29.56
03-21,562,22.48
03-22,572,22.88
03-23,568,22.72
03-24,711,28.44
03-25,316,12.64
03-26,738,29.52
03-27,840,33.6
03-28,417,16.68
03-29,362,14.48
03-30,533,21.32
03-31,585,23.4
04-01,580,23.2
04-02,466,18.64
04-03,523,20.92
04-04,665,26.6
04-05,290,11.6
04-06,40,1.6
04-07,515,20.6
04-08,685,27.4
04-09,496,19.84
04-10,521,20.84
04-11,456,18.24
04-12,505,20.2
04-13,716,28.64
04-14,482,19.28
04-15,559,22.36
04-16,1096,43.84
04-17,420,16.8
04-18,437,17.48
04-19,432,17.28
04-20,479,19.16
04-21,500,20.0
04-22,598,23.92
04-23,1011,40.44
04-24,2297,91.88
04-25,474,18.96
04-26,588,23.52
04-27,333,13.32
04-28,892,35.68
04-29,539,21.56
04-30,770,30.8
05-01,458,18.32
05-02,338,13.52
05-03,314,12.56
05-04,482,19.28
05-05,474,18.96
05-06,678,27.12
05-07,333,13.32
05-08,565,22.6
05-09,344,13.76
05-10,352,14.08
05-11,402,16.08
05-12,500,20.0
05-13,703,28.12
05-14,525,21.0
05-15,478,19.12
05-16,359,14.36
05-17,672,26.88
05-18,410,16.4
05-19,726,29.04
05-20,668,26.72
05-21,723,28.92
05-22,416,16.64
05-23,374,14.96
05-24,656,26.24
05-25,536,21.44
05-26,346,13.84
05-27,428,17.12
05-28,888,35.52
05-29,534,21.36
05-30,610,24.4
05-31,725,29.0
06-01,952,38.08
06-02,507,20.28
06-03,818,32.72
06-04,860,34.4
06-05,452,18.08
06-06,490,19.6
06-07,227,9.08
06-08,434,17.36
06-09,305,12.2
06-10,922,36.88
06-11,919,36.76
06-12,406,16.24
06-13,544,21.76
06-14,445,17.8
06-15,684,27.36
06-16,867,34.68
06-17,470,18.8
06-18,422,16.88
06-19,626,25.04
06-20,394,15.76
06-21,1045,41.8
06-22,657,26.28
06-23,645,25.8
06-24,549,21.96
06-25,804,32.16
06-26,587,23.48
06-27,560,22.4
06-28,910,36.4
06-29,756,30.24
06-30,460,18.4
07-01,414,16.56
07-02,648,25.92
07-03,1008,40.32
07-04,580,23.2
07-05,1150,46.0
07-06,1013,40.52
07-07,474,18.96
07-08,262,10.48
07-09,562,22.48
07-10,586,23.44
07-11,931,37.24
07-12,577,23.08
07-13,685,27.4
07-14,842,33.68
07-15,563,22.52
07-16,489,19.56
07-17,356,14.24
07-18,345,13.8
07-19,567,22.68
07-20,526,21.04
07-21,454,18.16
07-22,728,29.12
07-23,518,20.72
07-24,452,18.08
07-25,435,17.4
07-26,349,13.96
07-27,272,10.88
07-28,382,15.28
07-29,476,19.04
07-30,277,11.08
07-31,118,4.72
08-01,2592,100.0
08-02,360,14.4
08-03,696,27.84
08-04,118,4.72
08-05,782,31.28
08-06,494,19.76
08-07,1342,53.68
08-08,1044,41.76
08-09,358,14.32
08-10,654,26.16
08-11,1008,40.32
08-12,397,15.88
08-13,1306,52.24
08-14,128,5.12
08-15,1834,73.36
08-16,432,17.28
08-17,372,14.88
08-18,934,37.36
08-19,161,6.44
08-20,2072,82.88
08-21,2201,88.04
08-22,320,12.8
08-23,909,36.36
08-24,1720,68.8
08-25,1383,55.32
08-26,1492,59.68
08-27,1255,50.2
08-28,1548,61.92
08-29,1432,57.28
08-30,474,18.96
08-31,756,30.24
09-01,0,0.0
09-02,791,31.64
09-03,560,22.4
