title,writer,date,tags,hits
2017年联合国人力资源外联项目重庆站宣介活动在我校举行,学生职业发展与就业指导中心 国际合作与交流处,2017-10-27,联合国 重庆站 外联,2248
软件学院“喜迎十九大，共筑中国梦”主题团日活动,大数据与软件学院 付皓玥 王莎,2017-10-27,团日 软件学院 中国,979
“土木杯”篮球赛第三日小组赛,土木工程学院 韩梓建,2017-10-27,篮球赛 小组赛 土木工程学院,677
重庆大学“土木杯”篮球小组赛C1队对战C3队,土木工程学院 晋超,2017-10-27,校园生活 土木杯 篮球赛 土木工程学院,635
重庆大学土木工程学院“土木杯”篮球赛B1队对阵B2队,土木工程学院 孙昌文,2017-10-28,篮球赛 土木工程学院,651
“土木杯”篮球赛A1战队对阵A3战队,土木工程学院 都宏波,2017-10-28,篮球赛 土木工程学院,634
激情“经秋杯”，活力拼双球——经管学院羽毛球、乒乓球比赛,经济与工商管理学院 袁梦 何光玺,2017-10-27,经管学院 乒乓球 羽毛球,580
重庆大学‘土木杯’篮球赛B3队对阵B4队,土木工程学院 王景涛,2017-10-28,篮球赛 土木工程学院,514
城环学院举行研究生导师“学习十九大精神”辅导报告会,环境与生态学院 王会丽,2017-10-27,报告会 导师 研究生,483
国家社科基金重大项目“《古典拉丁语汉语大辞典》编纂”开题论证会在重庆大学举行,社科处 殷铭泽,2017-10-28,国家社科基金 重庆大学 论证会,2031
城环学院举办出国留学指导讲座,环境与生态学院 王会丽 潘思宇,2017-10-27,出国留学 讲座 学院,846
航空航天学院团委举办“喜迎十九大共筑中国梦”主题团日活动,航空航天学院 吴东,2017-10-28,十九大 团日 航空航天,587
聚焦十九大 共启新征程,生物工程学院 张继伟,2017-10-28,十九大 新征程 生物工程学院,503
材料学院迎新晚会主持人选拔活动正式开始,材料科学与工程学院 文字：肖欣怡 摄影：黄俊溢,2017-10-28,晚会 主持人 材料,823
建管学院第一轮新生辩论赛第四组辩论顺利落幕,管理科学与房地产学院 余林蔓,2017-10-28,建管 辩论赛 第一轮,566
"群雄舌战展雄风,争锋相对辩天下",管理科学与房地产学院 凌潇颖,2017-10-28,建管 辩论赛 第一轮,1086
机械研究生举办“不忘初心跟党走之深入学习十九大会议精神”主题党团活动,机械工程学院 崔学芳 刘向阳 梁成成,2017-10-27,机械学院 党团活动,589
【建管】建管学院SYB创业培训课程顺利开展,管理科学与房地产学院 刘楠紫沁,2017-10-28,培训课程 学院,462
【建管】“GYB创业培训”火热进行,管理科学与房地产学院 梁璐,2017-10-28,【建管】“GYB创业培训”火热进行,549
重庆大学“土木杯”篮球赛C1对阵C2队,土木工程学院 唐腾龙,2017-10-28,重庆大学 土木工程学院 篮球赛 土木杯 小组赛,406
重庆大学建筑工程制图协会2017-2018学年会员见面会,土木工程学院 王琨,2017-10-28,重庆大学 建筑工程制图协会 会员见面会,650
深入学习，贯彻落实“两学一做”,自动化学院 项杨震,2017-10-27,深入学习 贯彻落实“两学一做”,580
重庆大学自动化学院2017级研究生开展趣味运动会,自动化学院 项杨震,2017-10-29,重庆大学 运动会 趣味,435
热心公益 逐梦青协,土木工程学院 庹天予,2017-10-28,土木工程学院 公益 策划组选举,510
图协薪火初相传,土木工程学院 宋昱达,2017-10-28,建筑工程制图协会 会员培训 薪火相传,427
建管学院“新生杯”篮球赛工二对阵工四,管理科学与房地产学院 李佳蔚,2017-10-29,建管 篮球赛 新生杯,492
重庆大学土木杯篮球赛D1队对战D3队,土木工程学院 王宇希,2017-10-28,重庆大学 土木工程学院 篮球赛 土木杯 小组赛,406
【建管】郭明义爱心团队重大建管分队成功开展“情暖重阳——慰问离退职工”系列活动,管理科学与房地产学院 咸坤泽 陈磊、傅鑫、陈娟,2017-10-27,明义 教职工 分队,466
重大学子获得第42届国际大学生程序设计竞赛亚洲区域赛（西安站）金奖,计算机学院 李佳,2017-10-29,ACM-ICPC 重庆大学 金奖,2048
汽车工程学院师生深入学习十九大精神,汽车工程学院 王梦真；罗旭辉；刘修阳,2017-10-27,工程学院 师生 精神,464
建管学院新生辩论赛工三VS工一顺利进行,管理科学与房地产学院 张连明,2017-10-28,建管学院 辩论赛,671
建管学院17级房管2班团日活动顺利举行,管理科学与房地产学院 叶永红,2017-10-28,建管学院 团日活动,445
继续教育学院团委组织部召开工作会议,继续教育学院 陈丽,2017-10-27,组织部 工作会 团委,569
继教学院3D培训中心举行“毕业生就业指导”知识讲座,继续教育学院 曾铃芸,2017-10-27,就业指导 培训中心 讲座,451
关注十九大 学习新思想,物理学院 林玮,2017-10-27,物理 2017级 十九大,452
继续教育学院3D培训中心开展班级篮球赛,继续教育学院 白太升,2017-10-27,篮球赛 教育学院 培训中心,365
党委常委会召开2017年第43次会议,党委办公室 关慧,2017-10-27,党委 常委会 2017年第43次,1139
北京师范大学李小俚教授应邀到生物学院访问交流,生物工程学院 呼林涛,2017-10-29,北京师范大学 李小俚教授 生物 学术报告,1880
重庆大学艺术学院“重庆市社会科学普及基地”科普活动走进万州,艺术学院 喻思言,2017-10-27,重庆大学 科普活动 万州,579
动力工程学院举行“动力杯”篮球赛,能源与动力工程学院 王志涛,2017-10-29,篮球赛 动力,411
重庆大学学生会举行“校院班”工作联会 暨第一届国学文化节启动仪式,校团委 重庆大学学生会,2017-10-28,重庆大学 校院 联会 重庆大学学生会,747
应用技术学院组织研究生党员学习十九大报告,继续教育学院 程美玲,2017-10-27,应用技术 研究生 报告,367
华中科技大学刘文予教授谈移动环境下的视频大数据深度学习,微电子与通信工程学院 肖磊,2017-10-27,大数据 深度学习,1000
重庆大学2017-2018学年研究生干部骨干培训班 素质拓展活动顺利开展,研究生院(研工部) 文字：徐云鹏 彭双 摄影：张会,2017-10-28,重庆大学 研究生干部骨干培训班 素质拓展,497
重庆大学举行2018年研究生元旦晚会主持人选拔大赛,研究生院(研工部) 文字：赵静芳 摄影：马明勋,2017-10-27,重庆大学 研究生元旦晚会 主持人选拔大赛,924
2017-2018学年研究生骨干新媒体运营培训（第二期）顺利开展,研究生院(研工部) 文字：王京凯 摄影：刘文思,2017-10-27,研究生骨干 新媒体运营培训 第二期,536
学校召开2018年度国家自然科学基金申报动员暨辅导报告会,科学技术发展研究院 陈亚然,2017-10-27,国家自然科学基金 申报 动员,648
动力辩论 青春启航,能源与动力工程学院 王志涛,2017-10-29,动力 辩论,404
逐鹿球场 谁与争锋,管理科学与房地产学院 舒滟灵,2017-10-29,建管 新生杯 篮球赛,381
篮球赛青春似火，“迎疯”杯激战正酣,材料科学与工程学院 文字：韩龙泽 摄影：杨欣雨,2017-10-29,篮球赛,373
用客观书写真实——记土木工程学院2017年新闻稿培训,土木工程学院 唐腾龙,2017-10-29,校园生活 新闻稿培训 土木工程学院,429
