tags,hits,count,hits_grade
支援,2,1,0.1
湖北医疗队员,2,1,0.1
防疫前线,3,1,0.15
巫山人,4,1,0.2
首例,4,1,0.2
job,5,1,0.25
战役青春,35,1,1.75
评审会议,38,1,1.9
国家电网,57,1,2.85
第四场小组赛,58,1,2.9
党委理论学习中心组学习会,63,1,3.15
离退休职工,66,1,3.3
确诊,134,2,3.35
患者,138,2,3.45
疫情防控工作,71,1,3.55
心理培训会,72,1,3.6
教学技能,73,1,3.65
云党课,75,1,3.75
博士点申报,75,1,3.75
校招,75,1,3.75
教工政治理论学习,77,1,3.85
骨干,80,1,4.0
互动,80,1,4.0
倡议书,82,1,4.1
网络视频,82,1,4.1
黑天鹅,85,1,4.25
基础知识,85,1,4.25
投资,85,1,4.25
股票,85,1,4.25
分析技巧,85,1,4.25
普及教育,86,1,4.3
心理素质测评,86,1,4.3
共抗疫情,89,1,4.45
班主任选拔,90,1,4.5
电子编程,91,1,4.55
在线竞赛,92,1,4.6
实验教学案例,92,1,4.6
职通,93,1,4.65
线上讲堂,94,1,4.7
重庆青年五四奖章,95,1,4.75
出院,286,3,4.766666666666667
社会和谐,191,2,4.775
报社,96,1,4.8
参考,96,1,4.8
云视频,96,1,4.8
线上答疑,98,1,4.9
余渭深,99,1,4.95
民主,99,1,4.95
高校宣讲,99,1,4.95
第一期菁英讲堂,99,1,4.95
复学,198,2,4.95
阅读深度教学法,99,1,4.95
建环,100,1,5.0
暖通,100,1,5.0
习近平寄语,101,1,5.05
CIOB学生中心团队,101,1,5.05
译诗集,102,1,5.1
加州大学戴维斯分校,102,1,5.1
安保,102,1,5.1
惠民普法社区普法活动,102,1,5.1
诗集,102,1,5.1
党性,103,1,5.15
答疑活动,104,1,5.2
迎新春师生茶话会,104,1,5.2
毕业生就业,104,1,5.2
用电安全,105,1,5.25
治愈,420,4,5.25
海报设计,105,1,5.25
论坛直击,210,2,5.25
杨陈硕璨,106,1,5.3
第二十八届歌手大赛,106,1,5.3
2020年全国肿瘤防治宣传周,106,1,5.3
报刊,106,1,5.3
传感控制,106,1,5.3
教工大会,106,1,5.3
求职集训周,428,4,5.35
人类命运共同体,107,1,5.35
光棍节,107,1,5.35
跑步达人,107,1,5.35
慢跑,107,1,5.35
防过敏,107,1,5.35
前景规划,108,1,5.4
第三组小组赛,108,1,5.4
新型冠状病毒感染,217,2,5.425
肺炎,217,2,5.425
新一届班主任选拔工作,109,1,5.45
引九秩星火,109,1,5.45
校庆座谈会,109,1,5.45
领创新时代,109,1,5.45
校企座谈会,109,1,5.45
理论中心学习,109,1,5.45
政治理论学习会,110,1,5.5
国家安全教育日,110,1,5.5
线上交流,110,1,5.5
行动,111,1,5.55
湖南工学院,111,1,5.55
专题会,111,1,5.55
南华大学,111,1,5.55
贵州民族大学,111,1,5.55
健康培训,111,1,5.55
校园用水进行全面体检,111,1,5.55
扶贫任务,111,1,5.55
海信集团,111,1,5.55
在线交流,112,1,5.6
党委理论中心组,112,1,5.6
述职报告,112,1,5.6
网络面试,112,1,5.6
公益活动,224,2,5.6
境外留学,112,1,5.6
机械设计,112,1,5.6
国聘行动,113,1,5.65
感恩重大,113,1,5.65
守正创新,114,1,5.7
英语能力提升工程,114,1,5.7
环保知识科普,115,1,5.75
青春梦想,115,1,5.75
五四活动,115,1,5.75
现场交流会,115,1,5.75
《红岩》,115,1,5.75
附属肿瘤医院药学部,115,1,5.75
防灾减灾宣传,115,1,5.75
积极分子培训,231,2,5.775
煤矿实验室,116,1,5.8
责任,116,1,5.8
第二次,116,1,5.8
财务分析,116,1,5.8
重庆发展,116,1,5.8
大桥,116,1,5.8
义务,116,1,5.8
谈心谈话会,116,1,5.8
国家宪法日活动,117,1,5.85
宣讲动员,117,1,5.85
重庆燃气,117,1,5.85
出征仪式,117,1,5.85
土木工程学院党委培训会,117,1,5.85
阐释,117,1,5.85
军队文职,118,1,5.9
王国法院士,118,1,5.9
防护物资,118,1,5.9
展望前沿,118,1,5.9
口才,118,1,5.9
读经典,118,1,5.9
师生阅读活动,118,1,5.9
农委,118,1,5.9
智能航天,118,1,5.9
机械工程学院；2019级；团委研究生会；纳新；,118,1,5.9
悟原理,118,1,5.9
预防近视,118,1,5.9
工程前沿讲坛,118,1,5.9
招考内容,118,1,5.9
联合党校,118,1,5.9
意见反馈会,119,1,5.95
求职礼仪,119,1,5.95
法院旁听活动,119,1,5.95
网络育人,119,1,5.95
家国情怀,239,2,5.975
2020考研,120,1,6.0
学习热潮,120,1,6.0
复试调剂,120,1,6.0
云上交流,120,1,6.0
道桥与力学,120,1,6.0
国家线,120,1,6.0
基础学科,120,1,6.0
亲子沟通,120,1,6.0
就业授课,120,1,6.0
名企云参观,240,2,6.0
新时代青年,120,1,6.0
银医服务,121,1,6.05
门诊自助服务系统,121,1,6.05
观看改革开放40周年,122,1,6.1
助力抗疫,122,1,6.1
关工委,245,2,6.125
迎接,123,1,6.15
毕业生年级大会,123,1,6.15
郭沫若,123,1,6.15
三院四班联合团日活动,123,1,6.15
冯玉祥,123,1,6.15
主题教工政治理论学习,123,1,6.15
学位评定分委会,124,1,6.2
人文关怀,124,1,6.2
第一批返校,124,1,6.2
11·27大屠杀,124,1,6.2
机械工程学院；研究生；讲党课,125,1,6.25
校庆活动,125,1,6.25
体育强国,125,1,6.25
创业组,125,1,6.25
元旦春节慰问退休教师活动,125,1,6.25
党支部基本职责,126,1,6.3
复产复工,126,1,6.3
科普讲解,126,1,6.3
争先创优评选,126,1,6.3
信息化建设,126,1,6.3
家困生,126,1,6.3
教学资源,126,1,6.3
项目论证,126,1,6.3
研究生党支部工作,126,1,6.3
新生班委竞选,126,1,6.3
赛前培训,126,1,6.3
团委学生会纳新,126,1,6.3
机械研究生党支部,126,1,6.3
能力素质,126,1,6.3
爱校教育,126,1,6.3
工作例会顺利召开,126,1,6.3
培训和比赛,126,1,6.3
救助,126,1,6.3
线上竞赛,127,1,6.35
调研党建,127,1,6.35
奋斗新时代,127,1,6.35
校选赛,127,1,6.35
一校三院,127,1,6.35
列席,127,1,6.35
口译,127,1,6.35
壮丽70年,127,1,6.35
机械工程学院；研究生；主题党日活动,127,1,6.35
民主测评成功,127,1,6.35
高校法治教育联盟,127,1,6.35
范长江,128,1,6.4
中华民族,128,1,6.4
认知行为治疗培训,256,2,6.4
生命之光,128,1,6.4
重温誓词,128,1,6.4
第二十一届北京希望马拉松（重庆行）,128,1,6.4
教工党员,128,1,6.4
思想政治工作骨干,256,2,6.4
资助联系人,128,1,6.4
行政办公室,128,1,6.4
学生教育管理,129,1,6.45
国家助学贷款,129,1,6.45
教工职工大会,129,1,6.45
争鸣杯,129,1,6.45
诚信,129,1,6.45
办公室系统工作会,129,1,6.45
中建八局西南分公司,129,1,6.45
母亲节活动,129,1,6.45
入党宣誓,129,1,6.45
西政,130,1,6.5
病例,130,1,6.5
名企,130,1,6.5
名云企参观,130,1,6.5
感恩中国近现代科学家,130,1,6.5
肿瘤放射,130,1,6.5
郭明义爱心社团,130,1,6.5
法律高校行,130,1,6.5
共庆华诞,130,1,6.5
云参观,130,1,6.5
网络视频招聘会,130,1,6.5
研会研团委,130,1,6.5
高层次人才,130,1,6.5
主题当日活动,130,1,6.5
质量控制,130,1,6.5
工作研讨,130,1,6.5
中欧科技合作龙计划,130,1,6.5
全民国家安全教育日,261,2,6.525
个人职业发展,131,1,6.55
线上主题班会,131,1,6.55
慰问离退职工,131,1,6.55
郭明义团队,131,1,6.55
党委扩大会议,263,2,6.575
聂荣臻元帅陈列馆,263,2,6.575
马拉松比赛,132,1,6.6
信息教工支部,132,1,6.6
城市轨道交通,132,1,6.6
奔跑,132,1,6.6
太极拳,132,1,6.6
新生杯篮球赛,396,3,6.6
中国档案报,133,1,6.65
面试特训,133,1,6.65
心理健康讲座,133,1,6.65
知名学者,133,1,6.65
发展现状与管理需求,133,1,6.65
党的十九届四中全会精神宣讲报告会,133,1,6.65
中移物联网,133,1,6.65
中医肿瘤,133,1,6.65
团体活动组织,134,1,6.7
奖助学金,268,2,6.7
战场,134,1,6.7
研究生素拓,134,1,6.7
机械工程学院；留学；第一课,135,1,6.75
新闻采访,135,1,6.75
新生入学交流活动,135,1,6.75
十七支部,135,1,6.75
欢迎建环暖通燃气,135,1,6.75
工程系,135,1,6.75
十五,135,1,6.75
十六,135,1,6.75
视频会,270,2,6.75
测绘研究,136,1,6.8
线上,272,2,6.8
教职工会,136,1,6.8
牢记使命主题教育；调研；座谈会,136,1,6.8
采购,136,1,6.8
职就中心,547,4,6.8375
巡察反馈,137,1,6.85
网络健身,137,1,6.85
MDV,137,1,6.85
线上党组织生活会,137,1,6.85
问卷调查,137,1,6.85
王永岩,137,1,6.85
青岛科技大学,137,1,6.85
暑假夏令营,137,1,6.85
教学实践,138,1,6.9
我买单,138,1,6.9
筹备讨论会,138,1,6.9
启航心协,138,1,6.9
机械工程学院；校庆；志愿者,138,1,6.9
机械工程学院；主题；校友座谈会,138,1,6.9
回访,138,1,6.9
邀请,138,1,6.9
2019年度重庆市人文社科普及基地工作先进单位,138,1,6.9
食品安全知识普及,138,1,6.9
进展,138,1,6.9
全院大会,138,1,6.9
工商管理研修班,138,1,6.9
校友分会,138,1,6.9
央视报道,138,1,6.9
你选书,138,1,6.9
创新综合实验,138,1,6.9
黄乾亨,138,1,6.9
37班,138,1,6.9
重大获奖,277,2,6.925
2019新春慰问,139,1,6.95
校园新冠肺炎防控,139,1,6.95
龙图杯,139,1,6.95
协调,139,1,6.95
管科学院团学文艺部纳新活动,139,1,6.95
国家能源形势与安全,139,1,6.95
困难学生家访,139,1,6.95
书记讲党课,278,2,6.95
爱心活动,139,1,6.95
2018秋季趣味运动会,139,1,6.95
心理健康教育与咨询,139,1,6.95
森林日,139,1,6.95
卢义玉,139,1,6.95
癌症康复,139,1,6.95
规范化,139,1,6.95
主题论坛,139,1,6.95
重庆市伦理学,140,1,7.0
建国大业,140,1,7.0
歌乐山,280,2,7.0
卫生适宜技术,140,1,7.0
天加杯,140,1,7.0
建院40周年,140,1,7.0
战疫日志,421,3,7.0166666666666675
安卓应用开发,141,1,7.05
爱国奋进,141,1,7.05
全体本科生大会,141,1,7.05
筹备工作,141,1,7.05
舌战,141,1,7.05
菁英讲堂第二期,141,1,7.05
考研复试技巧,141,1,7.05
邱海力,141,1,7.05
攻略,141,1,7.05
新生慰问,141,1,7.05
学生安全教育管理工作,141,1,7.05
党知识,142,1,7.1
冲刺,142,1,7.1
应用及其发展,142,1,7.1
在线直播,142,1,7.1
2019年管科团学宣传部网络中心纳新活动,142,1,7.1
国家科学技术进步奖,142,1,7.1
党史,142,1,7.1
红船杯,142,1,7.1
测绘学科内涵,142,1,7.1
思政教学,142,1,7.1
学生党员,286,2,7.15
