,title,hits,hits_grade
0,2017年联合国人力资源外联项目重庆站宣介活动在我校举行,2248,100.0
1,软件学院“喜迎十九大，共筑中国梦”主题团日活动,979,81.58333333333333
2,“土木杯”篮球赛第三日小组赛,677,56.416666666666664
3,重庆大学“土木杯”篮球小组赛C1队对战C3队,635,52.916666666666664
4,重庆大学土木工程学院“土木杯”篮球赛B1队对阵B2队,651,54.25
5,“土木杯”篮球赛A1战队对阵A3战队,634,52.833333333333336
6,激情“经秋杯”，活力拼双球——经管学院羽毛球、乒乓球比赛,580,48.333333333333336
7,重庆大学‘土木杯’篮球赛B3队对阵B4队,514,42.833333333333336
8,城环学院举行研究生导师“学习十九大精神”辅导报告会,483,40.25
9,国家社科基金重大项目“《古典拉丁语汉语大辞典》编纂”开题论证会在重庆大学举行,2031,100.0
10,城环学院举办出国留学指导讲座,846,70.5
11,航空航天学院团委举办“喜迎十九大共筑中国梦”主题团日活动,587,48.916666666666664
12,聚焦十九大 共启新征程,503,41.916666666666664
13,材料学院迎新晚会主持人选拔活动正式开始,823,68.58333333333333
14,建管学院第一轮新生辩论赛第四组辩论顺利落幕,566,47.166666666666664
15,"群雄舌战展雄风,争锋相对辩天下",1086,90.5
16,机械研究生举办“不忘初心跟党走之深入学习十九大会议精神”主题党团活动,589,49.083333333333336
17,【建管】建管学院SYB创业培训课程顺利开展,462,38.5
18,【建管】“GYB创业培训”火热进行,549,45.75
19,重庆大学“土木杯”篮球赛C1对阵C2队,406,33.833333333333336
20,重庆大学建筑工程制图协会2017-2018学年会员见面会,650,54.166666666666664
21,深入学习，贯彻落实“两学一做”,580,48.333333333333336
22,重庆大学自动化学院2017级研究生开展趣味运动会,435,36.25
23,热心公益 逐梦青协,510,42.5
24,图协薪火初相传,427,35.583333333333336
25,建管学院“新生杯”篮球赛工二对阵工四,492,41.0
26,重庆大学土木杯篮球赛D1队对战D3队,406,33.833333333333336
27,【建管】郭明义爱心团队重大建管分队成功开展“情暖重阳——慰问离退职工”系列活动,466,38.833333333333336
28,重大学子获得第42届国际大学生程序设计竞赛亚洲区域赛（西安站）金奖,2048,100.0
29,汽车工程学院师生深入学习十九大精神,464,38.666666666666664
30,建管学院新生辩论赛工三VS工一顺利进行,671,55.916666666666664
31,建管学院17级房管2班团日活动顺利举行,445,37.083333333333336
32,继续教育学院团委组织部召开工作会议,569,47.416666666666664
33,继教学院3D培训中心举行“毕业生就业指导”知识讲座,451,37.583333333333336
34,关注十九大 学习新思想,452,37.666666666666664
35,继续教育学院3D培训中心开展班级篮球赛,365,30.416666666666668
36,党委常委会召开2017年第43次会议,1139,94.91666666666667
37,北京师范大学李小俚教授应邀到生物学院访问交流,1880,100.0
38,重庆大学艺术学院“重庆市社会科学普及基地”科普活动走进万州,579,48.25
39,动力工程学院举行“动力杯”篮球赛,411,34.25
40,重庆大学学生会举行“校院班”工作联会 暨第一届国学文化节启动仪式,747,62.25
41,应用技术学院组织研究生党员学习十九大报告,367,30.583333333333332
42,华中科技大学刘文予教授谈移动环境下的视频大数据深度学习,1000,83.33333333333333
43,重庆大学2017-2018学年研究生干部骨干培训班 素质拓展活动顺利开展,497,41.416666666666664
44,重庆大学举行2018年研究生元旦晚会主持人选拔大赛,924,77.0
45,2017-2018学年研究生骨干新媒体运营培训（第二期）顺利开展,536,44.666666666666664
46,学校召开2018年度国家自然科学基金申报动员暨辅导报告会,648,54.0
47,动力辩论 青春启航,404,33.666666666666664
48,逐鹿球场 谁与争锋,381,31.75
49,篮球赛青春似火，“迎疯”杯激战正酣,373,31.083333333333332
50,用客观书写真实——记土木工程学院2017年新闻稿培训,429,35.75
51,重大土木工程学院“土木杯”篮球赛B2 vs B4,400,33.333333333333336
52,“喜迎十九大，共筑中国梦”主题团日活动顺利举办——土木11班和房建1班联合举办,403,33.583333333333336
53,重庆大学“土木杯”篮球赛大一地下2班、土木9班对阵大二土木4，5，8班,395,32.916666666666664
54,马克思主义学院举行离退休教职工座谈会,393,32.75
55,继教学院2016级工程造价本科班开展主题团日活动,349,29.083333333333332
56,星期日讲座：诗人李元胜谈“当代诗歌的阅读与理解”,756,63.0
57,重庆大学自动化学院2015级党支部 学习贯彻落实十九大精神报告,457,38.083333333333336
58,计算机学院开展2017年重阳节敬老活动,412,34.333333333333336
59,我校学生在重庆市2017“外研社杯”大学英语竞赛中斩获2个特等奖,900,75.0
60,马克思主义学院与公共管理学院共同举行学生趣味运动会,461,38.416666666666664
61,重庆大学离退休党委松三支部集中学习十九大精神,448,37.333333333333336
62,唇枪舌剑，尽显建管学子风采,467,38.916666666666664
63,新时代 新思想 新目标 新征程 民革重大一支部认真学习中共十九大精神,580,48.333333333333336
64,重庆大学弘深学院举行2017级新生素质拓展训练,951,79.25
65,机关党委、纪委专题研究党的十九大精神宣传贯彻落实工作,490,40.833333333333336
66,重庆大学被评为“全国厂务公开民主管理先进单位”,685,57.083333333333336
67,校党委常务副书记张宗益到机关党委调研,554,46.166666666666664
68,图管会举办“尚阅斋”第28期阅读分享活动,422,35.166666666666664
69,物理学院举办“温馨重阳节，温暖老人心” 主题的趣味游园活动,752,62.666666666666664
70,重庆大学召开传达学习贯彻党的十九大精神大会,3301,100.0
71,动力学院组织开展学习十九大精神团日活动,3981,100.0
72,唇枪舌战 谁与争锋 建管学院新生辩论赛顺利开展,575,47.916666666666664
73,“喜迎十九大，共筑中国梦” 16级房管二班、土木十班联合团日活动今日顺利开展,576,48.0
74,重庆大学“土木杯”篮球赛A2队对阵A4队,450,37.5
75,继续教育学院团委学生会第21期团干培训班开班,273,22.75
76,重庆大学举行第二十一届科技文化节 开幕式活动精彩纷呈,1298,100.0
77,重庆大学承办第十一届iCAN国际创新创业大赛重庆赛区竞赛,1204,100.0
78,公管学院副教授冉戎参加中俄“长江—伏尔加河”高校联盟智库论坛,491,40.916666666666664
79,【榜样的力量】张子豪：用梦想与努力浇灌好奇心,4083,100.0
80,生物工程学院党委中心组专题学习十九大精神,404,33.666666666666664
81,重庆大学离退休党委C二支部集中学习热议十九大精神,411,34.25
82,重庆市高校教师教学发展研讨会在我校举行,1433,100.0
83,校领导带队现场督查校园环境问题整治,1869,100.0
84,重庆大学青年科协交叉学科论坛圆满举行,702,58.5
85,材料学院装饰党支部召开支部会议,273,22.75
86,航空航天学院举行2017级新生辩论赛,730,60.833333333333336
87,继续教育学院2015级土木工程本科班开展主题团日活动,282,23.5
88,继续教育学院举行心理健康知识讲座,278,23.166666666666668
89,土木心协举行2017年第三次社团大会,313,26.083333333333332
90,土木工程学院“土木杯”足球赛B1队对阵B2队,367,30.583333333333332
91,沐浴在十九大的春风中,499,41.583333333333336
92,土木工程学院“土木杯”篮球赛A3队对战B4队,385,32.083333333333336
93,书信传温情 爱心筑希望,601,50.083333333333336
94,重庆大学MEM获准成为全国首批开展IPMP认证合作资格培养单位,591,49.25
95,重庆大学-辛辛那提大学联合学院各团支部举办“喜迎十九大 共筑中国梦”主题团日活动,506,42.166666666666664
96,难得艳阳天，同坐绿草地，细听班导言，共话未来梦,415,34.583333333333336
97,校党委周旬书记带队调研指导马克思主义学院建设,595,49.583333333333336
98,动力工程学院院领导带队走访河南校友,465,38.75
99,数学与统计学院举行离退休教师重阳节茶话会,461,38.416666666666664
100,学校召开文科学科建设工作会,1702,100.0
101,计算机学院青年教师获2017年中国密码学会优秀论文奖,712,59.333333333333336
102,“土木杯”足球赛A1对战A2,384,32.0
103,新闻学院学子在第二届足荣村方言电影节中斩获佳绩,393,32.75
104,新闻学院董天策院长出席上海交大媒体与设计学院建院15周年院长论坛,389,32.416666666666664
105,继续教育学院3D培训中心组织教学实践活动,315,26.25
106,继教院3D培训中心开展“喜迎十九大，共筑中国梦”团日活动,323,26.916666666666668
107,光电工程学院召开2016级年级大会,454,37.833333333333336
108,光电工程学院团委学生会召开新生见面会,636,53.0
109,上海大学上海电影学院新闻传播系来我校新闻学院调研交流,1041,86.75
110,法学院顺利开展“旗帜高扬，开启新时代伟大征程——深入学习宣传贯彻党的十九大精神”党团活动,368,30.666666666666668
111,土木工程学院召开党的十九大精神学习会,374,31.166666666666668
112,经管学院四大部门举办新闻采写、摄影培训,501,41.75
113,机械工程学院举行“炬心”学生干部交流大会学习十九大精神,389,32.416666666666664
114,机关党委举行专题党课深入学习宣传贯彻党的十九大精神,1751,100.0
115,化学化工学院研究生第一、第七党支部联合开展组织生活,386,32.166666666666664
116,2017年青少年高校科学营重庆大学分营召开工作总结暨优秀工作者表彰大会,423,35.25
117,校党委理论学习中心组专题学习党的十九大报告,1907,100.0
118,先进技术研究院组织召开装备资质建设专家指导会,688,57.333333333333336
119,生物工程学院召开教职工大会传达学习贯彻党的十九大精神,445,37.083333333333336
120,电气工程学院党委理论学习中心组集体学习十九大报告,323,26.916666666666668
121,重庆大学离退休党委虎溪二支部学十九大安排下阶段工作,488,40.666666666666664
122,步入新时代 扬帆再起航,449,37.416666666666664
123,学习十九大 奋进新时代,450,37.5
124,软件学院新生篮球赛进行第二轮初赛,268,22.333333333333332
125,土木工程学院顺利召开学习党的十九大精神党委中心组（扩大）学习会,269,22.416666666666668
126,我校教授主编的国家行业标准《现浇X形桩复合地基技术规程》出版发行,364,30.333333333333332
127,建管学院2017迎新晚会第一次审核顺利进行,459,38.25
128,科技园办公室党支部集体学习十九大报告，热议十九大精神,286,23.833333333333332
129,高校分析测试中心研究会青年部成立大会暨创新论坛在重庆大学召开,466,38.833333333333336
130,研究生院教职工开展赏秋登山暨重温入党誓词活动,408,34.0
131,辩场英姿再起雄风,474,39.5
132,生物工程学院圆满举办“新时代，新方位，使命呼唤新担当”主题党团活动,399,33.25
133,重庆大学党委书记的思政课：为学生传达党的十九大精神,1548,100.0
134,校党委副书记、纪委书记陶举虎一行调研校办产业党风廉政建设工作,460,38.333333333333336
135,动力工程学院师生党员集体学习十九大报告,280,23.333333333333332
136,生命科学学院举办消防安全和实验室安全讲座,571,47.583333333333336
137,新闻学院名誉院长参加亚洲舆论调查会议,535,44.583333333333336
